Partlist

Exported from avoccado-nora2-panel-100x100.brd

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value           Package       Library               Position (inch)       Orientation

R16      1K              0603-RES      SparkFun-Resistors    (0.83 1.11488189)     R90
R17      1M              0603-RES      SparkFun-Resistors    (0.08 1.10488189)     R180
R18      1K              0603-RES      SparkFun-Resistors    (0.75 1.11488189)     R270
R19      10K             0603-RES      SparkFun-Resistors    (1.06425197 1.22488189) R180
R20      1K              0603-RES      SparkFun-Resistors    (1.06425197 1.16488189) R180
R21      2K              0603-RES      SparkFun-Resistors    (1.65425197 1.11488189) R270
R22      1K              0603-RES      SparkFun-Resistors    (1.81425197 1.11488189) R90
R23      1M              0603-RES      SparkFun-Resistors    (1.06425197 1.10488189) R180
R24      1K              0603-RES      SparkFun-Resistors    (1.73425197 1.11488189) R270
R25      10K             0603-RES      SparkFun-Resistors    (2.04850394 0.26031496) R180
R26      1K              0603-RES      SparkFun-Resistors    (2.04850394 0.20031496) R180
R27      2K              0603-RES      SparkFun-Resistors    (2.63850394 0.15031496) R270
R28      1K              0603-RES      SparkFun-Resistors    (2.79850394 0.15031496) R90
R29      1M              0603-RES      SparkFun-Resistors    (2.04850394 0.14031496) R180
R30      1K              0603-RES      SparkFun-Resistors    (2.71850394 0.15031496) R270
R31      10K             0603-RES      SparkFun-Resistors    (3.03275591 0.26031496) R180
R32      1K              0603-RES      SparkFun-Resistors    (3.03275591 0.20031496) R180
R33      2K              0603-RES      SparkFun-Resistors    (3.62275591 0.15031496) R270
R34      1K              0603-RES      SparkFun-Resistors    (3.78275591 0.15031496) R90
R35      1M              0603-RES      SparkFun-Resistors    (3.03275591 0.14031496) R180
R36      1K              0603-RES      SparkFun-Resistors    (3.70275591 0.15031496) R270
R37      10K             0603-RES      SparkFun-Resistors    (2.04850394 1.22488189) R180
R38      1K              0603-RES      SparkFun-Resistors    (2.04850394 1.16488189) R180
R39      2K              0603-RES      SparkFun-Resistors    (2.63850394 1.11488189) R270
R40      1K              0603-RES      SparkFun-Resistors    (2.79850394 1.11488189) R90
R41      1M              0603-RES      SparkFun-Resistors    (2.04850394 1.10488189) R180
R42      1K              0603-RES      SparkFun-Resistors    (2.71850394 1.11488189) R270
R43      10K             0603-RES      SparkFun-Resistors    (3.03275591 1.22488189) R180
R44      1K              0603-RES      SparkFun-Resistors    (3.03275591 1.16488189) R180
R45      2K              0603-RES      SparkFun-Resistors    (3.62275591 1.11488189) R270
R46      1K              0603-RES      SparkFun-Resistors    (3.78275591 1.11488189) R90
R47      1M              0603-RES      SparkFun-Resistors    (3.03275591 1.10488189) R180
R48      1K              0603-RES      SparkFun-Resistors    (3.70275591 1.11488189) R270
R49      10K             0603-RES      SparkFun-Resistors    (0.08 2.18944882)     R180
R50      1K              0603-RES      SparkFun-Resistors    (0.08 2.12944882)     R180
R51      2K              0603-RES      SparkFun-Resistors    (0.67 2.07944882)     R270
R52      1K              0603-RES      SparkFun-Resistors    (0.83 2.07944882)     R90
R53      1M              0603-RES      SparkFun-Resistors    (0.08 2.06944882)     R180
R54      1K              0603-RES      SparkFun-Resistors    (0.75 2.07944882)     R270
R55      10K             0603-RES      SparkFun-Resistors    (1.06425197 2.18944882) R180
R56      1K              0603-RES      SparkFun-Resistors    (1.06425197 2.12944882) R180
R57      2K              0603-RES      SparkFun-Resistors    (1.65425197 2.07944882) R270
R58      1K              0603-RES      SparkFun-Resistors    (1.81425197 2.07944882) R90
R59      1M              0603-RES      SparkFun-Resistors    (1.06425197 2.06944882) R180
R60      1K              0603-RES      SparkFun-Resistors    (1.73425197 2.07944882) R270
R61      10K             0603-RES      SparkFun-Resistors    (0.08 3.15401575)     R180
R62      1K              0603-RES      SparkFun-Resistors    (0.08 3.09401575)     R180
R63      2K              0603-RES      SparkFun-Resistors    (0.67 3.04401575)     R270
R64      1K              0603-RES      SparkFun-Resistors    (0.83 3.04401575)     R90
R65      1M              0603-RES      SparkFun-Resistors    (0.08 3.03401575)     R180
R66      1K              0603-RES      SparkFun-Resistors    (0.75 3.04401575)     R270
R67      10K             0603-RES      SparkFun-Resistors    (1.06425197 3.15401575) R180
R68      1K              0603-RES      SparkFun-Resistors    (1.06425197 3.09401575) R180
R69      2K              0603-RES      SparkFun-Resistors    (1.65425197 3.04401575) R270
R70      1K              0603-RES      SparkFun-Resistors    (1.81425197 3.04401575) R90
